episode,reward,revenue,rooms_sold,occupancy_rate,epsilon,average_q,loss
1,-3032.216796850513,6500.0,1,0.02,0.995,-0.026415006779134272,1732.6088999155406
2,-4098.754547771352,12500.0,3,0.06,0.990025,-4.883110424429178,5776.165123291015
3,-2664.297796085658,34000.0,8,0.16,0.985074875,-22.927107904553413,4509.620288696289
4,-2806.3356247354177,17500.0,5,0.1,0.9801495006250001,-33.927436235286294,5074.596446685791
5,-3386.976068272401,18000.0,5,0.1,0.9752487531218751,-25.713298108577728,4786.959630889893
6,-3695.853582913513,3000.0,1,0.02,0.9703725093562657,-32.64404545545578,4108.129454956054
7,-2175.0812944485697,37000.0,8,0.16,0.9655206468094844,-26.465055029392243,4460.679923706055
8,-2048.4,49000.0,12,0.24,0.960693043575437,-32.12116522789002,4958.406632385254
9,-2851.789616766586,26000.0,7,0.14,0.9558895783575597,-30.226836613416673,4518.176313476562
10,-2533.0714092869966,23000.0,6,0.12,0.9511101304657719,-26.298987174034117,5383.426405334472
11,-1395.2456074143863,52000.0,11,0.22,0.946354579813443,-14.589538352489472,4616.399990844727
12,-3498.3197603247154,4000.0,1,0.02,0.9416228069143757,-20.72127239704132,4660.862984466553
13,-2925.683367699502,14500.0,4,0.08,0.9369146928798039,-16.99512631177902,5210.68713897705
14,-3064.318432560054,13000.0,3,0.06,0.9322301194154049,-25.473888142481446,4987.725693969726
15,-2255.889725676553,19000.0,4,0.08,0.9275689688183278,-19.428509325385093,5491.789762268067
16,-1721.8180032328946,53000.0,10,0.2,0.9229311239742362,-22.21559079259634,4523.649388885498
17,-3352.706151371557,6500.0,2,0.04,0.918316468354365,-26.551098823547363,4132.773277282715
18,-2321.1879251690284,22000.0,5,0.1,0.9137248860125932,-15.905056970119476,4590.292291870117
19,-3660.2984096258647,0.0,0,0.0,0.9091562615825302,-28.37236439779401,5177.477965393066
20,-2344.5872783887507,38000.0,11,0.22,0.9046104802746175,-19.805018040463327,4541.9699369812015
21,-1710.1999999999987,18000.0,3,0.06,0.9000874278732445,-14.05272141456604,5255.703927612305
22,-1659.4943311133504,54500.0,12,0.24,0.8955869907338783,-15.184021676778793,4713.105728149414
23,-2426.7987408623494,9500.0,2,0.04,0.8911090557802088,-13.490491651296615,5065.415745239257
24,-1617.087025491844,33000.0,7,0.14,0.8866535105013078,-13.101967219114304,4455.714268188476
25,-3287.6792496017542,10500.0,2,0.04,0.8822202429488013,-18.343930184841156,3696.3086486053467
26,-1760.8631465300596,21500.0,5,0.1,0.8778091417340573,-10.98269138738513,5188.950278549194
