episode,reward,revenue,rooms_sold,occupancy_rate,epsilon,average_q
1,-2874.0167968505148,9500.0,2,0.04,1.0,0.0
2,-3304.9490365351367,11000.0,3,0.06,0.995,0.0
3,-2349.3290621602414,31500.0,7,0.14,0.990025,0.0
4,-2155.739834251267,23000.0,6,0.12,0.985074875,0.0
5,-3607.1021978243625,19500.0,5,0.1,0.9801495006250001,0.0
6,-3331.724125409601,14000.0,4,0.08,0.9752487531218751,0.0
7,-1671.5357539588924,45000.0,11,0.22,0.9703725093562657,0.0
8,-1502.4000000000008,52000.0,12,0.24,0.9655206468094844,0.0
9,-2337.1692613269047,36500.0,9,0.18,0.960693043575437,0.0
10,-2373.9314385264433,27000.0,7,0.14,0.9558895783575597,-0.06
11,-1841.7011987269075,40000.0,9,0.18,0.9511101304657719,0.0
12,-2872.3564037404103,7000.0,2,0.04,0.946354579813443,0.0
13,-3435.2431583275475,5500.0,1,0.02,0.9416228069143757,0.0
14,-2156.0549447183503,15500.0,4,0.08,0.9369146928798039,0.0
15,-2312.616513141932,30500.0,7,0.14,0.9322301194154049,0.0
16,-1456.8180032328942,47500.0,10,0.2,0.9275689688183278,0.0
17,-3223.11577328785,3000.0,1,0.02,0.9229311239742362,0.0
18,-2174.247067712633,27500.0,7,0.14,0.918316468354365,0.0
19,-2907.2566441914423,0.0,0,0.0,0.9137248860125932,0.0189165089826738
20,-1690.77960107864,39500.0,10,0.2,0.9091562615825302,-0.1996
21,-2106.7915105324155,19500.0,3,0.06,0.9046104802746175,0.0
22,-1464.5550031644316,48000.0,12,0.24,0.9000874278732445,0.0
23,-2622.273906676875,7500.0,2,0.04,0.8955869907338783,0.0
24,-2386.423683850019,32500.0,8,0.16,0.8911090557802088,0.0
25,-3474.2264958252863,9500.0,2,0.04,0.8866535105013078,-0.20282673916988259
26,-2260.863146530061,27500.0,5,0.1,0.8822202429488013,-0.0756
27,-3035.1848898233884,3000.0,1,0.02,0.8778091417340573,0.0
28,-2721.0732099094776,3000.0,1,0.02,0.8734200960253871,0.0
29,-2023.7999999999997,26500.0,6,0.12,0.8690529955452602,0.0
30,-3029.4718251824456,3000.0,1,0.02,0.8647077305675338,0.0
31,-1596.2456832104954,59500.0,13,0.26,0.8603841919146962,0.058600000000000006
32,-2613.55480601312,9500.0,3,0.06,0.8560822709551227,-0.0188
33,-2449.1499905436795,12000.0,3,0.06,0.851801859600347,0.0
34,-2134.4000000000033,21000.0,4,0.08,0.8475428503023453,0.0
35,-2384.961949300491,11000.0,3,0.06,0.8433051360508336,0.0
36,-1894.0,26500.0,7,0.14,0.8390886103705794,-0.0526
37,-2241.436587699657,28000.0,7,0.14,0.8348931673187264,0.0
38,-712.430721888157,68000.0,16,0.32,0.8307187014821328,-0.0008517127507057864
39,-1776.4484384618208,43500.0,9,0.18,0.8265651079747222,0.0
40,-2286.8602891967175,0.0,0,0.0,0.8224322824348486,0.0
41,-3090.850077838644,4000.0,1,0.02,0.8183201210226743,-0.0596
42,-2741.131528631479,19000.0,6,0.12,0.8142285204175609,-0.06
43,-3060.6770909019497,10500.0,3,0.06,0.810157377815473,-0.0992
44,-2619.0695202925126,0.0,0,0.0,0.8061065909263957,0.0
